month,decade,mean_anomaly
Jan,1950,-0.060314999999999994
Feb,1950,-0.103235
Mar,1950,-0.125055
Apr,1950,-0.07183500000000001
May,1950,-0.06172999999999999
Jun,1950,-0.04651
Jul,1950,-0.052245
Aug,1950,-0.03624
Sep,1950,-0.052635
Oct,1950,-0.04379500000000001
Nov,1950,-0.10382
Dec,1950,-0.072285
Jan,1960,-0.11775
Feb,1960,-0.07096
Mar,1960,-0.10898
Apr,1960,-0.10840000000000001
May,1960,-0.0848
Jun,1960,-0.047715
Jul,1960,-0.05967
Aug,1960,-0.04728
Sep,1960,-0.068065
Oct,1960,-0.0375
Nov,1960,-0.054995
Dec,1960,-0.07704
Jan,1970,-0.013170000000000001
Feb,1970,-0.040845
Mar,1970,-0.0073849999999999975
Apr,1970,0.014535000000000003
May,1970,-0.0006849999999999975
Jun,1970,-0.012184999999999998
Jul,1970,-0.01828
Aug,1970,-0.03099
Sep,1970,-0.0028150000000000007
Oct,1970,-0.034345
Nov,1970,-0.004785
Dec,1970,-0.009580000000000002
Jan,1980,0.26136
Feb,1980,0.26063000000000003
Mar,1980,0.23075
Apr,1980,0.19017
May,1980,0.21318
Jun,1980,0.164235
Jul,1980,0.190395
Aug,1980,0.20697000000000002
Sep,1980,0.19741
Oct,1980,0.156335
Nov,1980,0.137795
Dec,1980,0.20648
Jan,1990,0.361705
Feb,1990,0.447675
Mar,1990,0.400845
Apr,1990,0.37727
May,1990,0.32086000000000003
Jun,1990,0.37953000000000003
Jul,1990,0.35041
Aug,1990,0.32171500000000003
Sep,1990,0.27001
Oct,1990,0.31915
Nov,1990,0.32343
Dec,1990,0.32206
Jan,2000,0.559075
Feb,2000,0.55738
Mar,2000,0.60472
Apr,2000,0.556945
May,2000,0.508545
Jun,2000,0.499535
Jul,2000,0.520615
Aug,2000,0.5436
Sep,2000,0.5589850000000001
Oct,2000,0.568905
Nov,2000,0.604545
Dec,2000,0.53074
Jan,2010,0.75444
Feb,2010,0.7745949999999999
Mar,2010,0.8526849999999999
Apr,2010,0.790365
May,2010,0.738955
Jun,2010,0.70375
Jul,2010,0.704125
Aug,2010,0.77003
Sep,2010,0.74192
Oct,2010,0.8122149999999999
Nov,2010,0.79843
Dec,2010,0.758915
Jan,2020,1.0115
Feb,2020,1.0150000000000001
Mar,2020,1.105653846153846
Apr,2020,1.0038916666666666
May,2020,0.91965
Jun,2020,0.955975
Jul,2020,0.9810583333333334
Aug,2020,1.0181833333333332
Sep,2020,1.0742666666666667
Oct,2020,1.0829250000000001
Nov,2020,1.06645
Dec,2020,0.974475
