show_id,title,duration_minutes
s1,Dick Johnson Is Dead,90.0
s7,My Little Pony: A New Generation,91.0
s8,Sankofa,125.0
s10,The Starling,104.0
s13,Je Suis Karl,127.0
s14,Confessions of an Invisible Girl,91.0
s17,Europe's Most Dangerous Man: Otto Skorzeny in Spain,67.0
s19,Intrusion,94.0
s23,Avvai Shanmughi,161.0
s24,Go! Go! Cory Carson: Chrissy Takes the Wheel,61.0
s25,Jeans,166.0
s27,Minsara Kanavu,147.0
s28,Grown Ups,103.0
s29,Dark Skies,97.0
s30,Paranoia,106.0
s31,Ankahi Kahaniya,111.0
s36,The Father Who Moves Mountains,110.0
s37,The Stronghold,105.0
s39,Birth of the Dragon,96.0
s42,Jaws,124.0
s43,Jaws 2,116.0
s44,Jaws 3,98.0
s45,Jaws: The Revenge,91.0
s46,My Heroes Were Cowboys,23.0
s47,Safe House,115.0
s49,Training Day,122.0
s52,InuYasha the Movie 2: The Castle Beyond the Looking Glass,99.0
s53,InuYasha the Movie 3: Swords of an Honorable Ruler,99.0
s54,InuYasha the Movie 4: Fire on the Mystic Island,88.0
s55,InuYasha the Movie: Affections Touching Across Time,100.0
s57,Naruto Shippuden the Movie: Blood Prison,102.0
s58,Naruto Shippûden the Movie: Bonds,93.0
s59,Naruto Shippûden the Movie: The Will of Fire,96.0
s60,Naruto Shippuden: The Movie,95.0
s61,Naruto Shippuden: The Movie: The Lost Tower,85.0
s62,Naruto the Movie 2: Legend of the Stone of Gelel,97.0
s63,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,95.0
s64,Naruto the Movie: Ninja Clash in the Land of Snow,83.0
s65,Nightbooks,103.0
s69,Schumacher,113.0
s72,A StoryBots Space Adventure,13.0
s74,King of Boys,182.0
s76,You vs. Wild: Out Cold,106.0
s78,Little Singham - Black Shadow,48.0
s79,Tughlaq Durbar,145.0
s80,Tughlaq Durbar (Telugu),145.0
s81,Firedrake the Silver Dragon,93.0
s82,Kate,106.0
s85,Omo Ghetto: the Saga,147.0
s87,Prey,87.0
